Region,Country,State/Province,Standard of Living,Cost of Living (Index),Income Tax Rate (%),GNH,GDP (in USD Trillions),Average Income (USD),Employment Rate (%),"Crime Rate (per 100,000)",No. of Unicorns,Population (millions),Life Expectancy (years),Internet Penetration (%),Literacy Rate (%),Healthcare Quality Index,Education Index,Public Debt (% of GDP),Urbanization Rate (%),Renewable Energy Usage (%),Inflation Rate (%),Average Temperature (°C),Freedom of Press Index,Foreign Direct Investment (USD Billions),Median Age,Education Index.1,Poverty Rate (%),Military Expenditure (% of GDP),Carbon Emissions (Tonnes per Capita),Renewable Energy (%),Tourism Revenue (Billions USD),Transportation Infrastructure Index,Housing Price Index,Currency Strength (vs USD),Work-Life Balance Score,Average Work Hours per Week,Corruption Index,Political Stability Index,Happiness Index,Innovation Index,Startup Ecosystem Score,Higher Education Enrollment (%),Female Labor Participation (%),Gender Equality Index,Crime Severity Index,Environmental Performance Index,Public Debt (% of GDP).1,Trade Balance (Billions USD),Number of Patents Filed
South America,Argentina,Mendoza,Low,73,11.70677673,6.1,11.5,15051,80.67267949,118,1,1308.3,65.53706549,61.76537987,99.1182733,66,83,35.9434076,74.7264194,46.30927421,4.201943517,15.52607899,24.95764605,91.3,48.98426236,0.184634997,23.27767972,4.631559091,15.42417304,23.18885313,244.7814743,0.035719626,133.5324859,1.673999842,6.385983784,36.99732494,9.769408593,1.050981993,8.144782891,85.02889547,1.044250109,38.06699755,94.24655954,0.565792122,1.504033638,25.82027971,49.79956914,314.5838073,13642
Antarctica,Antarctica,Antarctica,Medium,136,46.79488961,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,16.82053982,0.026960586,20.80349803,2.878598443,19.2543566,81.37474174,459.1639361,0.991084575,53.84683152,1.912166259,1.375930247,52.59724544,12.52001122,-0.336152741,3.762828483,77.69726678,7.809031916,74.05385004,52.24357088,0.832063141,2.380740635,37.0931895,95.20728318,272.5487657,34562
Asia,Japan,Tokyo,Medium,54,14.9333536,7.9,11.64,67423,59.23406846,325,120,343.5,66.63686093,59.49704157,45.09440529,60,52,24.69386396,27.28892224,13.81042887,5.893613405,22.66686017,8.336353618,191,31.51646433,0.185403967,36.36372908,6.52511157,8.932804303,15.64641258,411.9179017,0.0360737,143.6948884,1.443232658,0.430398662,50.14471251,58.04864481,1.898267081,0.063422544,84.34610479,2.796591265,27.77470674,25.04034503,0.238043015,1.518373005,64.95402669,109.9103223,-469.1986153,14260
Oceania,New Zealand,Wellington,Very High,70,49.76209584,6.5,23.93,75698,78.16607764,180,119,633.1,66.507405,93.66011625,66.82316419,63,66,147.1104046,52.44478355,6.385022577,4.416578298,20.04725176,20.80768589,77.4,46.61796089,0.440891454,40.99959043,1.238234478,11.81711727,52.58139612,402.9773033,0.265264049,70.74805506,1.045755272,1.990354978,30.70905105,84.15668191,-1.685905684,8.556766941,89.12270881,3.572856691,56.06893056,22.92547629,0.21278935,0.088690052,76.16301119,215.3654004,474.0255309,38546
Oceania,Fiji,Suva,Medium,169,8.433048025,5.3,11.19,16947,59.63662616,311,32,58.5,58.64399862,49.11884573,55.68173968,39,62,38.44557738,64.48869126,25.40252561,9.482323621,-19.18496506,9.335893304,156.3,43.66311944,0.850270941,22.57528229,2.534669297,13.41559295,89.87276573,462.8028795,0.678139528,149.4344083,0.486430487,6.047166472,22.93234952,95.35765785,-1.172720807,1.850546576,43.40694961,6.356757114,88.74416025,98.93601681,0.730458992,9.177097809,3.056344593,218.4269573,-462.5641033,40990
Europe,United Kingdom,England,Low,104,19.66606728,7.2,20.3,57849,57.89862784,301,123,164.5,70.75147271,73.39743162,64.25635198,67,60,11.40185194,54.61979068,6.240540719,8.139938515,20.7699497,21.39081243,158.6,27.84423456,0.868038111,2.473791593,1.507576572,0.75077594,6.58212801,183.0244056,0.303142691,147.876598,0.928225502,7.174230707,46.43396127,66.11854822,-0.133333807,6.211157509,24.97768887,3.767995978,69.07944017,25.55096521,0.663883873,7.457074011,39.13178742,85.97981985,-25.12240931,44901
North America,United States,Texas,Medium,118,22.04809107,3.4,4.6,40564,66.14508179,282,122,1111,68.23228882,78.87793119,96.82192644,82,43,90.81650354,45.96525368,10.63511777,3.624703343,-15.00046375,14.31372015,36.4,33.78972662,0.166425331,36.91399487,6.347991876,16.64762924,90.18016562,83.66701182,0.749996578,123.505622,0.611653875,8.62788448,20.10112763,32.07605293,-2.134248002,1.923839094,64.513277,9.065747328,62.18744234,68.85754284,0.912748903,9.407756138,36.06701996,97.5197249,53.06449177,45611
Asia,South Korea,Busan,Medium,140,10.39563091,6.2,14.64,79217,65.21450068,259,89,215.5,60.7575933,24.93939542,60.39519603,39,45,128.9857229,68.80798938,56.47086559,3.755428642,6.19792921,28.64805619,113.6,21.00223252,0.060785272,31.47400888,2.062512308,16.56051685,22.03743875,72.36222766,0.233679137,107.5214405,0.895296769,2.101491584,35.18223779,62.43864854,-1.206963117,9.461904002,31.56143691,0.620030314,53.90533872,53.17739175,0.60776069,4.429022221,55.46323487,251.5976487,-432.0389801,27483
Antarctica,Antarctica,Antarctica,Medium,77,21.66248287,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,33.87613241,0.695260513,43.69703146,9.655519084,18.6399875,8.815183258,281.701611,0.439627991,62.37840396,1.734916058,2.683540014,42.41578307,49.33715353,1.742206114,6.291708895,30.60417392,1.339426069,62.96049369,55.93415165,0.026153358,4.389333984,18.38692858,37.69143707,281.2326868,47274
North America,United States,New York,Very High,102,45.37986562,4.2,4.44,38392,73.29696971,219,52,1324.5,63.69778394,63.61989129,95.94925541,31,47,95.58607597,91.05959291,27.23294553,17.26901233,5.106019574,25.53477658,1.4,33.65000169,0.871280467,46.35136788,7.29132108,1.6475458,11.26743191,121.0482015,0.798712153,173.8606066,0.457941864,2.516267219,21.15033183,21.09113999,0.041217852,9.861195853,80.55427066,0.50115468,72.23486672,34.87051645,0.901190615,8.466439205,52.28175152,234.5065407,-279.0336206,43313
Asia,Japan,Tokyo,Low,184,7.991863804,4.9,2.89,70470,98.93397408,254,117,703.5,81.47033792,96.18948016,93.11017891,85,40,120.0170672,74.14278526,35.65123827,9.382872046,29.71001966,0.643983614,51.6,34.63435209,0.964330094,11.86435186,5.868183112,5.455008852,20.02407452,374.9864722,0.881082591,53.17178544,0.498532691,7.575770268,35.01025392,6.227905225,-2.292864896,5.73554991,57.84660435,3.509075142,0.467181883,22.44788356,0.262913633,0.770848766,98.568783,131.5741468,-364.3383297,34664
Europe,Italy,Tuscany,High,68,48.54258012,3.8,8.66,30586,87.67434695,36,30,1194.8,51.40564581,96.09340113,84.6051524,84,61,99.11755541,29.56053676,34.56851688,11.97784562,-5.027751694,24.12054983,126.2,22.51538572,0.202059525,3.640042972,8.955054538,13.58232759,50.89827069,11.45531875,0.047769067,136.0289657,0.876325235,5.668045883,30.70159507,86.43386392,2.259074386,1.523906524,40.44253474,2.145784547,42.88535317,80.95057906,0.289338942,0.20056582,17.78288572,295.5481571,-232.4249501,16167
Africa,Nigeria,Lagos,Medium,87,18.01106688,5.9,17.05,48027,90.25269377,225,123,464.8,80.95019202,46.38429835,93.35602435,90,50,86.25285079,82.60261096,7.29280579,2.011115336,31.12431433,15.57967083,90.6,36.11534241,0.675144123,46.30681819,6.444589746,3.708469903,6.311525802,90.04857125,0.657853033,198.2001744,0.216590248,3.190318346,58.3605807,73.45516578,2.462473587,1.251429565,72.11574146,8.343360582,77.818562,55.22317127,0.712947215,0.172596363,46.20110041,23.72164692,-389.0632885,23692
Asia,Japan,Tokyo,Low,105,36.60921688,6.7,11.72,37453,64.98060348,65,82,0.8,64.06566277,21.90138238,94.61590378,52,55,66.6442856,23.24923552,9.276911595,11.15869426,8.44096443,11.08966622,58.6,24.43859824,0.819469332,25.72995553,6.236144976,9.931109908,56.15394126,6.035277903,0.158538613,115.7868069,1.900613967,4.485715245,49.69214259,88.29509494,-0.49715318,1.730169659,91.45786077,9.951103657,95.38921656,37.32667966,0.449095688,8.877893614,34.92415602,29.09458712,303.7827754,20500
Oceania,Australia,New South Wales,Very High,200,6.307387651,3.9,12.36,69425,64.34605373,146,80,589.1,64.82770438,51.80532489,50.63100748,31,53,41.72149824,59.50692964,29.3374799,2.929164218,32.98089252,8.29014354,165.7,34.74862663,0.121163371,44.70777113,4.246300963,10.73895845,10.06329925,266.8848208,0.808503605,55.87494014,1.709426975,8.405657486,32.43901008,0.740045926,2.333437207,6.48712943,37.74271645,9.3215534,44.68549928,61.99312335,0.399099702,9.377311096,9.969396286,132.6509456,445.6330387,28184
Oceania,New Zealand,Wellington,Very High,155,39.08375289,6.1,11.12,65605,84.17230141,160,102,835.2,50.55271055,75.33738537,96.14606131,39,44,88.33159024,75.29283946,21.91581175,1.658299727,7.508230835,20.97159094,22.1,19.32889127,0.755371409,47.64798533,9.514167086,4.888733276,82.24806518,453.056898,0.224079396,188.7203073,0.665793351,0.988845477,32.06738641,93.00270818,1.386377751,4.196170506,82.76587042,4.503955086,60.79651467,40.51734416,0.314957868,0.103140949,24.34273589,152.3413462,-143.2361825,29087
Oceania,Australia,Victoria,High,89,46.90110563,5.8,9.4,59318,60.06096108,236,32,1077.7,76.6820729,33.76830188,50.56823646,37,86,67.04712351,64.2402239,28.72940749,7.441226057,-13.33843889,4.342849444,172.3,22.06220451,0.591492345,49.79061453,9.584645762,8.070581577,62.14004407,35.8560966,0.983753083,178.8743062,0.721318838,1.50654786,32.8091439,72.57339996,-2.453401759,3.816522991,42.09864031,5.677127169,92.8350459,15.97489652,0.879867177,6.610220668,51.32541313,31.00225972,327.2972848,34666
Africa,Kenya,Mombasa,High,190,30.13077764,5.4,6,33784,75.079204,225,45,1276,79.52718264,69.1833402,84.40464303,69,69,142.0259149,92.46559955,40.96607351,14.96295557,30.00602058,28.11233278,117.3,15.25766223,0.072227087,44.66139728,4.956528369,12.02652623,80.97387381,195.581548,0.767712736,147.5425851,0.418238305,5.959374833,29.44825219,82.35496083,0.737034042,6.402379922,50.08761964,0.795587847,37.80011341,83.06439669,0.140437894,5.393205474,64.02818256,17.90564931,213.6416967,22735
Asia,Indonesia,Jakarta,Very High,189,46.540533,6.6,20.98,4030,93.70906518,161,30,389.7,63.98009521,91.41327657,91.5226849,74,41,13.13220604,52.19734259,40.71269227,4.93247982,-2.962614413,28.09939094,175.4,26.57445557,0.156720383,37.4794478,3.882109563,19.30822502,51.52074524,265.5312327,0.753394826,194.3852331,1.217338912,0.524203607,39.40486168,57.67235363,2.014822313,9.834201483,93.74524707,9.050644075,81.76436716,43.16793112,0.716388422,8.432820606,77.05325722,19.80791022,336.5458592,42885
Oceania,Fiji,Suva,High,130,35.81613975,3,10.31,48068,64.7715037,97,111,446.9,64.99116471,72.73831164,76.96285739,84,54,34.23201516,44.14397827,35.8862378,5.968431123,-6.282258843,8.419950077,170.4,41.35240803,0.701545963,12.18944691,6.527753849,1.617851809,14.47296582,473.9766626,0.090081652,154.0630389,0.213230332,3.913108996,49.26349374,42.2598906,-0.008458081,0.981845178,42.145934,2.451674705,86.26935569,54.54876042,0.425596105,0.836750617,97.71920101,194.8330099,-219.7374845,49306
North America,Mexico,Jalisco,Very High,144,17.76954864,7.3,0.49,63098,63.98221859,89,53,1214.7,56.97449168,98.85115168,48.75074878,41,67,112.0235372,62.08373587,16.790634,7.177754292,-1.120678975,5.755036958,99.1,49.32350191,0.480984046,35.89866294,8.919205049,13.27925647,82.66685069,247.0418745,0.642308012,167.8818402,0.315661391,3.715501751,27.31519881,1.188427575,-1.307430534,5.424883486,82.22464656,5.245042769,84.49189295,55.00545372,0.533761532,5.830766131,32.32704428,104.8030158,-172.720203,47488
Africa,South Africa,Western Cape,Very High,187,20.52415585,3.5,19.69,48428,62.20654951,224,80,658.5,57.82524474,65.93499641,60.34761713,52,62,61.81502769,56.05108554,53.55188134,10.4858008,12.78552268,13.54574097,70.6,40.85497096,0.517466276,33.51504871,7.470724226,14.66320252,81.99789541,412.880964,0.586245539,198.9799483,0.267698308,1.61958968,28.16719869,92.30362566,1.287412983,6.333532752,51.70103223,9.698575104,76.58456675,11.44816694,0.196721965,9.289942644,32.21176916,269.9887085,-371.329973,49970
Africa,South Africa,Western Cape,High,143,17.85247536,6.2,12.58,52991,96.00784453,255,146,352.9,61.67873543,23.11193377,88.04533282,84,65,44.99055262,77.45381299,26.36570702,9.645722172,0.081407404,2.761334316,74.2,34.2618402,0.624908869,43.5586191,7.397161228,19.20282317,30.19390554,166.5889934,0.969931509,84.90692546,0.257667989,8.315714572,39.6296676,92.39792194,0.16676161,0.352159777,13.59557998,3.978359637,35.29027438,47.06601551,0.299285139,2.862412498,28.56939356,265.306615,332.7430613,38413
Antarctica,Antarctica,Antarctica,Very High,163,32.85837406,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,36.31789973,0.527442688,19.79451029,6.982630224,11.72061294,72.59386555,482.2032009,0.071119526,141.9462452,0.983966009,9.960722443,49.52868325,38.45268264,-0.095917673,3.92961176,87.90560506,4.535283198,71.3051285,41.84443085,0.211362246,8.426653249,78.3027469,143.6267501,-69.12617275,41771
Antarctica,Antarctica,Antarctica,Medium,92,39.54593366,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,33.64867215,0.137422669,31.0432123,8.88563855,7.571139065,16.87364858,138.5534366,0.117446922,131.8957758,0.15060097,0.739051032,35.58893128,84.14618244,2.220803994,7.865552831,21.07020293,4.877572323,94.33351003,72.84616472,0.826732123,0.006583824,16.32817384,9.274795709,44.37501336,20809
North America,Canada,Ontario,Medium,78,14.52387495,3.4,8.14,53251,97.67595105,14,77,365.5,79.51367377,39.69729201,56.602841,31,80,132.0089116,57.90485724,55.38026452,14.47922624,24.25416003,23.66377618,124.6,41.07786828,0.092199658,9.362662919,7.14423401,7.361838322,35.14631984,48.94496277,0.473133604,120.3386469,1.703589048,9.21223534,35.02128749,37.55502947,-2.154771366,5.095522384,60.54765899,1.991620191,30.95600482,76.94126966,0.986834823,7.517307222,83.25943058,263.7737963,-9.268471742,36626
Oceania,Australia,New South Wales,Very High,154,33.91439995,6.3,18.73,4124,78.96809563,159,12,754.8,50.36067296,25.46217978,45.01753138,41,83,102.0264829,39.70064053,41.0436024,7.252066703,19.51884396,18.63151691,176.2,39.83604896,0.962832829,42.75145698,6.008635836,16.25695497,5.783126391,53.60390735,0.272218244,50.4974394,1.302085975,9.508109415,33.77734663,78.628408,2.241199101,5.78321923,50.6549698,1.833138268,1.175280094,22.33618175,0.905811409,5.793358311,88.48778734,3.296034877,-303.7058213,49257
South America,Brazil,Rio de Janeiro,Medium,135,8.57114662,5,21.35,63353,98.12672979,104,110,716.1,65.56952255,88.90467303,93.27829531,48,62,148.1637469,92.0496839,30.75382242,3.328434805,-11.35084648,29.82991312,151.2,23.31809261,0.955777794,38.00046924,0.464783242,13.03891595,10.71733187,340.1155149,0.843118176,135.28887,0.188979849,6.340240625,49.20158473,77.49637134,-1.267405974,5.603482646,37.92318695,1.703147352,39.10933758,45.40470947,0.062155939,2.273822955,82.27736322,197.3478734,-96.62201321,34421
Antarctica,Antarctica,Antarctica,Medium,159,28.2496996,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,24.18411356,0.792613863,42.12353026,3.121434113,15.58330904,1.383308465,201.4053282,0.971190274,50.44930686,1.450100311,7.935989715,44.46393846,52.22075393,-0.392645392,3.746433598,99.59589117,5.107491872,24.52063042,46.24385042,0.851764535,5.760443105,30.570451,32.71300671,166.7365641,32265
Oceania,Australia,Victoria,Medium,62,5.886555147,5,13.59,43261,90.06472116,162,90,885.6,57.63331648,81.1353223,42.69637803,43,71,131.4621304,26.9200738,25.23300774,0.316483486,13.53273379,9.673057576,144.8,38.96675067,0.148084908,18.03936154,6.020510972,13.43376698,39.5781132,222.9378584,0.180799579,84.13380291,1.509556808,1.595470794,40.78073516,23.26971514,0.845578952,7.406659805,26.45351373,2.8570298,57.43096978,51.47631845,0.589804373,6.839970618,76.26114443,35.98533335,359.6891754,28929
South America,Chile,Santiago,High,103,12.24400649,5.4,10.41,14626,64.98523738,10,95,1336.7,72.66814585,30.79779381,57.86986664,74,82,18.96069883,34.79772403,22.33560786,0.208252542,39.9533663,5.297675414,86.5,24.87395713,0.637962527,14.20846958,2.100810686,6.155587758,77.60296214,306.4741137,0.158764588,96.79890314,1.152490698,3.683066465,56.28862729,21.23828774,-2.10943578,3.005887925,77.78723207,7.770796298,19.67572257,89.81020547,0.449996897,0.410760169,14.14999029,158.2048395,-83.44540838,25948
Africa,Egypt,Cairo,High,54,30.5995627,7.3,2.75,6882,63.78097082,291,31,1353.2,74.21957248,51.93700795,56.5398638,74,82,46.28675159,44.36587853,15.45347565,16.33440614,-8.173941366,6.062466821,131.5,40.9281644,0.146164443,21.87847636,7.342612667,9.32900293,49.56295598,468.8417075,0.617435398,156.7076259,0.829521926,4.105868147,32.39411642,28.98322995,-1.298445851,2.949322815,41.71920796,7.415114421,79.76852569,71.37104959,0.313067687,5.804855383,5.895649018,229.0113216,106.4013978,17606
Europe,Spain,Andalusia,Very High,136,25.02155302,4,17.12,78185,78.57584499,22,60,501.2,53.5892689,55.58259914,82.90123159,40,49,55.50698667,81.77154759,20.70864375,12.50070104,-1.425557755,13.48525755,50.2,41.59244139,0.199107728,35.5810735,5.932164509,10.90007624,97.65963262,14.13768157,0.207240146,57.52853456,0.226193633,5.198052614,27.29513914,43.51152942,1.228502654,2.18676388,53.07912396,9.165237966,47.24696127,87.8975413,0.60756249,5.239010789,24.21323727,89.11648988,118.6972525,41643
South America,Chile,Valparaíso,Medium,168,12.97406304,7.8,10.81,74679,67.90438604,178,13,170.5,82.43281614,84.96191283,79.30153407,75,48,64.91210862,78.37685779,20.36730789,14.36990107,-10.30708771,7.138652935,81,44.9470951,0.003619575,17.16354796,6.865510029,0.741038753,61.09732193,406.363403,0.279764036,182.4451449,0.764498604,4.313857767,53.97988508,42.87926658,-0.346214539,6.021693103,4.288406181,1.450606945,9.480655441,92.25901615,0.782597905,4.453418365,52.37878334,276.5932066,234.2840299,13939
Oceania,Fiji,Suva,Very High,181,8.726615339,3.1,19.66,33008,52.88763564,27,111,439.9,68.82342685,40.86912212,86.57242225,82,57,17.55937849,28.16372276,47.73387944,0.48593976,1.474116693,16.76814544,174,18.0898289,0.825909924,38.93607661,1.547678741,4.197830818,22.41323213,107.8139948,0.129344533,66.72890508,1.002577359,1.452535661,31.77757891,16.44548657,-1.948781521,7.072635078,89.55587879,5.173456074,64.66088685,56.99269757,0.670946415,1.007477214,73.30572509,140.6280998,1.455572273,22464
Oceania,Fiji,Suva,Low,102,34.65075767,6.5,18.61,28533,88.74313513,370,140,751.4,71.92974936,91.1801967,68.92673073,73,79,123.0697294,40.63330012,38.06095981,18.78987523,-2.490979539,10.90843259,14.4,26.46632132,0.784847904,10.2783204,6.225433488,9.53955383,62.54533406,303.0090664,0.984149006,69.70778093,1.40143749,2.605682453,42.46620084,54.64573186,-0.175782143,1.875490129,94.11370315,4.776715779,23.36033089,83.51446821,0.621617102,2.927019676,40.89555969,195.3679683,-477.416909,5832
North America,United States,Texas,Medium,162,14.55797266,6.6,0.46,56259,69.74834075,355,145,56.8,61.14792607,23.15429604,90.58059447,72,59,138.8123438,56.46889264,6.540280148,7.255996931,-15.68866151,13.53790915,79.4,30.03582177,0.429293532,26.65404843,2.197847842,5.440067455,48.3909062,126.3854406,0.844302988,133.2690644,0.70212207,3.666862418,26.42379629,15.78815108,-1.939029145,6.757257469,8.466026446,4.504866459,23.99370054,27.16340966,0.809431794,8.307109923,58.9994282,256.2520399,-489.7059646,48787
North America,Canada,Quebec,High,152,12.11583296,6.7,23.29,13205,64.1303772,261,93,915.7,67.30611873,35.46055535,82.69361264,76,55,68.5747317,37.18259313,52.95126858,13.80936566,5.099493968,21.33237013,65.9,46.93217162,0.320565739,25.67754818,1.461818913,15.68347114,48.78042469,429.8562511,0.498882062,129.3097073,0.686177481,5.226045902,56.79416042,56.21418682,1.620540328,5.136848189,21.19176211,4.36101476,76.59691943,31.95649649,0.252,1.277892752,96.99131062,156.2120673,-77.6072634,35944
Africa,Nigeria,Abuja,Low,78,15.94274818,7,17.17,70808,56.21936591,437,7,344,60.2205341,65.36453465,61.1707413,37,55,134.7684383,72.25538535,48.16403839,10.13412267,9.314622304,29.14850315,91.5,27.39583985,0.801420347,46.76056084,5.52659339,12.72512473,82.4162864,214.9173442,0.038944576,74.47158257,1.977716602,1.299495111,28.22004583,47.12761111,1.355273502,7.885198598,49.25104211,6.3136627,79.66662909,18.57808145,0.842175986,6.696509113,9.957638528,124.4303309,-167.6470965,3269
Antarctica,Antarctica,Antarctica,Low,107,31.41179635,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,41.13821569,0.574056655,3.697451218,7.166569736,3.903795942,65.47678222,5.069743273,0.359105903,131.1545099,1.278484021,7.605493212,33.67758641,55.25324872,1.225673269,4.490720421,88.93788624,1.464539892,63.69054748,18.01190893,0.792016757,2.925654953,91.69974769,175.9984623,340.6015205,1146
Asia,India,Karnataka,Low,59,23.00809342,4.3,2.3,75906,81.30854323,436,149,1027.5,74.02582796,88.14843163,64.52998765,54,58,59.96079811,81.11662765,50.68206322,4.241030763,-18.35947588,29.13111253,76.1,23.47745422,0.701196614,27.66582111,9.039690342,8.809661191,71.56630805,399.9505207,0.730525735,102.1922634,1.21993831,6.443301043,54.79099461,85.02784324,-1.27087798,5.353562128,66.31682645,4.908415841,23.12162845,99.42701778,0.616077824,4.185572543,81.78343534,219.8367923,-5.919518652,3346
